Time_sec,Chi_0.4_Underdamped,Chi_1.0_Critical,Chi_2.0_Overdamped
0.0,0.0,0.0,0.0
0.01002004008016032,0.00976543403465247,0.009408648571296538,0.008852081364650271
0.02004008016032064,0.019013465030299388,0.017669124520456818,0.01570247011674234
0.03006012024048096,0.027733770615382267,0.02488651470136586,0.02097279529657773
0.04008016032064128,0.03591857469978897,0.03115735653967695,0.024996355899849863
0.0501002004008016,0.04356255245308384,0.03657029010702795,0.028036617774793895
0.06012024048096192,0.050662730477840937,0.04120666245022244,0.030301837279954228
0.07014028056112225,0.057218382799845646,0.045141087574170444,0.03195662275438393
0.08016032064128256,0.06323092328255432,0.04844196524037344,0.033131075018822634
0.09018036072144288,0.0687037950571849,0.0511719615219979,0.033928013856011845
0.1002004008016032,0.07364235754229603,0.053388453851006476,0.034428691263974874
0.11022044088176353,0.07805377160783995,0.05514394310137958,0.03469730835034527
0.12024048096192384,0.08194688341858405,0.05648643507419996,0.034784586384032645
0.13026052104208416,0.08533210747062657,0.0574597935843955,0.03473059006270559
0.1402805611222445,0.08822130931261524,0.058104067194404765,0.034566959581363056
0.1503006012024048,0.09062768842034978,0.05845579149616759,0.03431867529849768
0.16032064128256512,0.0925656616698349,0.05854826870892125,0.034005452873513746
0.17034068136272545,0.09405074782967679,0.05841182623562599,0.03364284625443404
0.18036072144288576,0.09509945346910328,0.058074055704818155,0.03324311969185113
0.1903807615230461,0.09572916065295312,0.05756003391670631,0.03281593714490533
0.2004008016032064,0.09595801676983338,0.05689252701183692,0.032368907317332746
0.21042084168336672,0.0958048268143978,0.056092179087146414,0.03190801455462455
0.22044088176352705,0.09528894841944857,0.05517768639721186,0.03143795950299265
0.23046092184368736,0.09443018990841563,0.0541659581975635,0.030962428426057877
0.24048096192384769,0.0932487116138049,0.05307226521161707,0.030484306118392604
0.250501002004008,0.09176493068252485,0.05191037663273276,0.030005844226811077
0.2605210420841683,0.08999942956467437,0.050692686507751,0.0295287943171116
0.27054108216432865,0.08797286835848638,0.04943033028775684,0.029054513068668613
0.280561122244489,0.08570590116073745,0.04813329227546915,0.028584045433405123
0.2905811623246493,0.08321909654912107,0.04681050464624854,0.028118190373511216
0.3006012024048096,0.08053286230090355,0.04546993867099377,0.027657552826029764
0.3106212424849699,0.07766737443068523,0.044118688723898444,0.027202584778515792
0.32064128256513025,0.07464251060933362,0.04276304961593028,0.026753617736024925
0.3306613226452906,0.07147778800617509,0.04140858775575422,0.026310888382200956
0.3406813627254509,0.06819230557737244,0.04006020660344239,0.025874558859733138
0.3507014028056112,0.06480469080510846,0.03872220684850739,0.025444732797001424
0.3607214428857715,0.06133305087476966,0.037398341712381204,0.025021467971771787
0.37074148296593185,0.05779492826080364,0.036091867746275784,0.024604786316255987
0.3807615230460922,0.05420726067632799,0.03480559146824628,0.024194681820366055
0.3907815631262525,0.050586345326912724,0.0335419121580911,0.023791126773391746
0.4008016032064128,0.046947807395251895,0.03230286110533009,0.0233940766921446
0.4108216432865731,0.0433065726706909,0.031090137583776663,0.023003474210729943
0.42084168336673344,0.039676844225785136,0.02990514180604778,0.022619252149488393
0.4308617234468938,0.036072083031231376,0.028749005092625603,0.022241335935093233
0.4408817635270541,0.03250499239063232,0.02762261747269782,0.021869645507774912
0.45090180360721444,0.028987506067616457,0.026526652917865483,0.02150409682316964
0.4609218436873747,0.025530779969828176,0.02546159239482849,0.021144603033777885
0.47094188376753504,0.02214518724721396,0.0244277449092606,0.020791075417220743
0.48096192384769537,0.018840316655839937,0.023425266700190295,0.020443424104411637
0.4909819639278557,0.015624974033163819,0.022454178732240315,0.020101558649636177
0.501002004008016,0.012507186726229526,0.021514382621982908,0.01976538847573848
0.5110220440881763,0.009494210810628553,0.020605675124376954,0.019434823220658745
0.5210420841683366,0.006592540935253166,0.019727761295710577,0.019109773006069815
0.531062124248497,0.0038079226258228437,0.018880266440626667,0.018790148644514375
0.5410821643286573,0.0011453668788680206,0.018062746942607538,0.018475861798008475
0.5511022044088176,-0.0013908331227282175,0.01727470006969512,0.01816682509836052
0.561122244488978,-0.003797083341431647,0.016515572840179904,0.017862952237307397
0.5711422845691383,-0.006070468432058014,0.015784770026466888,0.01756415803287139
0.5811623246492986,-0.008208729670771329,0.015081661369282639,0.017270358476999263
0.5911823647294588,-0.010210241430841281,0.01440558806878946,0.016981470768483737
0.6012024048096192,-0.012073986367445234,0.013755868613989647,0.016697413334328424
0.6112224448897795,-0.013799529470816188,0.013131804007003919,0.01641810584205429
0.6212424849699398,-0.015386991143587922,0.012532682434366529,0.01614346920492104
0.6312625250501002,-0.016837019454302878,0.01195778343336942,0.015873425581622524
0.6412825651302605,-0.018150761714767795,0.011406381597685037,0.015607898371687412
0.6513026052104208,-0.0193298355243012,0.010877749862979699,0.015346812207557351
0.6613226452905812,-0.02037629941895023,0.010371162409976646,0.015090092944110076
0.6713426853707415,-0.021292623258498664,0.009885897219420313,0.014837667646232924
0.6813627254509018,-0.022081658478577574,0.009421238310613343,0.014589464574924344
0.6913827655310621,-0.022746608329457425,0.008976477692628762,0.01434541317229979
0.7014028056112224,-0.023290998217180243,0.008550917054926603,0.014105444045798398
0.7114228456913827,-0.023718646256614292,0.008143869221911827,0.013869488951823735
0.721442885771543,-0.024033634139811764,0.007754659393946446,0.013637480779001886
0.7314629258517034,-0.02424027841675385,0.00738262619546024,0.01340935353120072
0.7414829659318637,-0.02434310227920538,0.007027122549080178,0.013185042310422971
0.751503006012024,-0.024346807932000957,0.006687516393107986,0.012964483299661184
0.7615230460921844,-0.024256249629672367,0.006363191258208154,0.012747613745783025
0.7715430861723447,-0.024076407449929622,0.006053546717816359,0.012534371942500164
0.781563126252505,-0.023812361869147803,0.005757998725531577,0.01232469721346182
0.7915831663326653,-0.023469269198712492,0.0054759798516067475,0.012118529895504358
0.8016032064128256,-0.023052337934859276,0.005206939429595334,0.011915811322080933
0.8116232464929859,-0.022566806068527453,0.004950343623237258,0.011716483806889128
0.8216432865731462,-0.02201791939575341,0.0047056754227717355,0.011520490627709852
0.8316633266533066,-0.021410910863272088,0.004472434579040301,0.011327776010467052
0.8416833667334669,-0.02075098097829179,0.004250137482985463,0.011138285113514968
0.8517034068136272,-0.020043279305872942,0.004038316997453835,0.010951964012157275
0.8617234468937875,-0.019292887071987282,0.003836522247572936,0.010768759683400716
0.8717434869739479,-0.01850480088517375,0.0036443183753831995,0.01058861999094445
