Time_sec,Neural_Amp_OpenLoop,Neural_Amp_ClosedLoop,Bio_Gamma,Artificial_Gamma_u,Total_System_Chi
0.0,0.1,0.1,1.0,0.0,0.07957747154594767
0.01,0.09963005153160699,0.09963005153160699,1.0,1.0309733552923255,0.16161972439135291
0.02,0.09886356565480851,0.09887081238806965,1.0,1.9588493750554186,0.23545775195221763
0.03,0.09774683135060541,0.09778243641020823,1.0,2.7939377928422022,0.3019119767569959
0.04,0.09633152685950855,0.09643365465838193,1.0,3.5455173688503074,0.36172077908129624
0.05,0.09453836612000399,0.09476289298899929,1.0,4.2219389872576025,0.41554870117316667
0.06,0.0923782076303151,0.09280373297429655,1.0,4.830718443824168,0.46399383105585
0.07,0.0899539168204613,0.09068212651945193,1.0,5.378619954734076,0.507594447950265
0.08,0.08723711682582512,0.08838668421019548,1.0,5.871731314552994,0.5468350031552385
0.09,0.08417961277897354,0.08588675534473003,1.0,6.31553153839002,0.5821515028397146
0.1,0.08084748398406363,0.0832677554675267,1.0,6.714951739843343,0.6139363525557431
0.11,0.07720633251896375,0.08050832609307011,1.0,7.074429921151334,0.6425427173001689
0.12,0.07327350769714791,0.07763951188206297,1.0,7.397960284328526,0.6682884455701519
0.13,0.06910283702350811,0.07472556249197,1.0,7.689137611187999,0.6914596010131366
0.14,0.06460540197860584,0.07168177774983794,1.0,7.951197205361525,0.7123136409118229
0.15,0.05981164348864606,0.06854839285214057,1.0,8.187050840117697,0.7310822768206408
0.16,0.05480158130319905,0.06541079221559164,1.0,8.399319111398253,0.7479740491385766
0.17,0.049574630212383106,0.06226522577977239,1.0,8.590360555550753,0.7631766442247189
0.18,0.04421994820369448,0.059196638016727206,1.0,8.762297855288002,0.7768589798022469
0.19,0.03869883845315383,0.05615326320989138,1.0,8.917041425051528,0.7891730818220223
0.2,0.033009547724526106,0.05312364024495317,1.0,9.0563106378387,0.80025577363982
0.21,0.027320115870630754,0.05026604168839345,1.0,9.181652929347155,0.810230196275838
0.22,0.02156843402591601,0.047492886307004725,1.0,9.294460991704765,0.8192071766482542
0.23,0.015792496645328096,0.04482390984350712,1.0,9.395988247826615,0.8272864589834289
0.24,0.00994073495147742,0.04218664351174804,1.0,9.48736277833628,0.834557813085086
0.25,0.004081027289768127,0.03963436034917295,1.0,9.569599855794978,0.8411020317765775
0.26,-0.0017306484157986052,0.037202808281392975,1.0,9.643613225507806,0.8469918285989197
0.27,-0.007534924717092263,0.03482726043833397,1.0,9.710225258249352,0.8522926457390279
0.28,-0.013232626663995824,0.03258885566877764,1.0,9.770176087716742,0.857063381165125
0.29,-0.018851143209781915,0.030434051202631984,1.0,9.824131834237393,0.8613570430486125
0.3,-0.024353637947204274,0.02837879848365751,1.0,9.872692006105979,0.8652213387437512
0.31,-0.029735048758957376,0.026405784957215406,1.0,9.916396160787706,0.868699204869376
0.32,-0.03485264228612829,0.024637297512275055,1.0,9.955729900001261,0.8718292843824385
0.33,-0.03978214202258569,0.02296524781291332,1.0,9.99113026529346,0.8746463559441946
0.34,-0.04455817870652996,0.021333959283837814,1.0,10.02299059405644,0.8771817203497752
0.35000000000000003,-0.04906941913936303,0.0198398594466128,1.0,10.05166488994312,0.8794635483147976
0.36,-0.05340287104832762,0.018371901288723368,1.0,10.077471756241135,0.8815171934833179
0.37,-0.05747171917400057,0.017004810552390795,1.0,10.100697935909347,0.8833654741349861
0.38,-0.06137097307161162,0.015624646392442867,1.0,10.121601497610737,0.8850289267214874
0.39,-0.0650553608423208,0.014270145309532224,1.0,10.140414703141989,0.8865260340493387
0.4,-0.0684362334032559,0.013020277393194762,1.0,10.157346588120115,0.8878734306444047
0.41000000000000003,-0.07147619848942557,0.011895573369929418,1.0,10.172585284600428,0.8890860875799642
0.42,-0.07419501878940031,0.010858288686817258,1.0,10.186300111432711,0.8901774788219678
0.43,-0.0765995231069016,0.009888516597342094,1.0,10.198643455581765,0.891159730939771
0.44,-0.07869263476985645,0.008973360075023605,1.0,10.209752465315914,0.8920437578457939
0.45,-0.08052807534591698,0.008051530326717668,1.0,10.219750574076649,0.8928393820612146
0.46,-0.0820632416278985,0.007165432147797071,1.0,10.22874887196131,0.8935554438550931
0.47000000000000003,-0.08328211549331285,0.00632758353771218,1.0,10.236847340057505,0.8941998994695839
0.48,-0.08410715989532018,0.005611819577273585,1.0,10.24413596134408,0.8947799095226254
0.49,-0.08457473118064263,0.0049716103809001825,1.0,10.250695720501998,0.895301918570363
0.5,-0.08479189110524742,0.004295687830902202,1.0,10.256599503744123,0.8957717267133266
0.51,-0.0846559302634848,0.003695132592476111,1.0,10.261912908662037,0.896194554041994
0.52,-0.0842063749273979,0.003128398168128649,1.0,10.266694973088159,0.8965750986377946
0.53,-0.08346272780125387,0.0025793438531779636,1.0,10.270998831071669,0.8969175887740152
0.54,-0.08236643568967557,0.0021125956841774336,1.0,10.274872303256828,0.8972258298966137
0.55,-0.08090438686861431,0.0017416988292938392,1.0,10.27835842822347,0.8975032469069523
0.56,-0.0790909968127255,0.001452332742621519,1.0,10.281495940693448,0.897752922216257
0.5700000000000001,-0.07702546279346492,0.0011479251942657265,1.0,10.284319701916429,0.8979776299946314
0.58,-0.0746919603945566,0.0008578832572189075,1.0,10.286861087017112,0.8981798669951682
0.59,-0.07207035780765272,0.0006137609688967238,1.0,10.289148333607725,0.8983618802956513
0.6,-0.06914167162201917,0.0004435572583016558,1.0,10.29120685553928,0.8985256922660863
0.61,-0.06599327063151848,0.0002668649482985881,1.0,10.293059525277677,0.8986731230394777
0.62,-0.06262510561004915,9.979306279273616e-05,1.0,10.294726928042234,0.8988058107355298
0.63,-0.05909870498031576,-0.00010411671820758083,1.0,10.296227590530336,0.8989252296619769
0.64,-0.05543406635257477,-0.0003443889271448504,1.0,10.297578186769627,0.8990327066957791
